Input,Gold Standard,nns_number,nns1,nns2,nns3,Result,Cosine_Sim_Word1_Word2,Cosine_Sim_nns1,Cosine_Sim_nns2,Cosine_Sim_nns3
nero,black,3,white,red,black,1,0.6713805630491353,0.4205348476391678,1.0,0.6973051368961011
breve,short,3,long,short,small,1,0.5927028980937894,0.9999999999999999,0.2982302237742469,0.6303110406226787
giorno,day,3,night,year,day,1,0.5069773403505753,0.4970810674448048,1.0,0.6680194692651268
cinque,five,3,three,four,two,0,0.8468217641530185,0.8503621754827073,0.745037724694019,0.814073888109915
lingua,tongue,3,mother,river,many,0,0.2660484748408661,0.053302442024426355,-0.013781408697757243,0.10185650272251173
pochi,few,3,many,some,few,1,0.5887422500695253,0.5364080543918028,1.0,0.7083834348204427
grande,big,3,small,how,big,1,0.3829034760329978,0.1102153521610445,0.9999999999999999,0.4977062760646807
terra,earth,3,sea,star,they,0,0.24345903211308678,0.14679642373396,0.16245696438445645,0.1842374734105011
lago,lake,3,river,sea,lake,1,0.5385689015630375,0.3447874232057898,1.0,0.6277854415896091
quando,when,3,where,when,that,1,0.5170744570062209,1.0,0.40693779209788083,0.6413374163680339
altro,other,3,this,that,not,0,0.10241638352169244,0.1781722318207646,0.25007044409697804,0.17688635314647838
sole,sun,3,star,night,straight,0,0.3505051358699066,0.16961011609270255,0.08646429850780823,0.20219318349013912
chi,who,3,not,that,person,0,0.23060035169295084,0.3414121972928345,0.23916957782556902,0.27039404227045144
lui,he,3,father,mother,he,1,0.45671706717659677,0.30679933769244694,0.9999999999999996,0.5878388016230144
