three tres
four quatre
what què
woman dona
fire foc
star estrella
all tots
new nou
not no
hand mà
person persona
near prop
how com
old vell
that aquell
right dreta
head cap
some algun
husband marit
this aquest
child nen
year any
river riu
long llarg
many molts
salt sal
father pare
where on
they ells
white blanc
man home
straight recte
thick gruixut
one un
sea mar
two dos
road carretera
wife muller
night nit
red vermell
small petit
this aquest
mother mare
black negre
short curt
day dia
five cinc
tongue llengua
few pocs
big gran
earth terra
lake llac
when quan
other altre
sun sol
who qui
he ell
