tre three
quattro four
che that
donna woman
fuoco fire
stella star
tutto all
nuovo new
non not
mano hand
persona person
vicino near
come how
vecchio old
quello that
destra right
testa head
alcuni some
marito husband
questo this
bambino child
anno year
fiume river
lungo long
molti many
sale salt
padre father
dove where
loro they
bianco white
uomo man
diritto straight
spesso thick
uno one
mare sea
due two
strada road
moglie wife
notte night
rosso red
piccolo small
questo this
madre mother
nero black
breve short
giorno day
cinque five
lingua tongue
pochi few
grande big
terra earth
lago lake
quando when
altro other
sole sun
chi who
lui he
