three tre
four quattro
that che
woman donna
fire fuoco
star stella
all tutto
not non
new nuovo
hand mano
person persona
near vicino
how come
old vecchio
that quello
right destra
head testa
some alcuni
husband marito
this questo
child bambino
year anno
river fiume
long lungo
many molti
salt sale
father padre
where dove
they loro
white bianco
man uomo
straight diritto
thick spesso
one uno
sea mare
two due
road strada
wife moglie
night notte
red rosso
small piccolo
this questo
mother madre
black nero
short breve
day giorno
five cinque
tongue lingua
few pochi
big grande
earth terra
lake lago
when quando
other altro
sun sole
who chi
he lui
