Input,Gold Standard,nns_number,nns1,nns2,nns3,Result,Cosine_Sim_Word1_Word2,Cosine_Sim_nns1,Cosine_Sim_nns2,Cosine_Sim_nns3
negre,nero,3,bianco,rosso,nero,1,0.7618602403370207,0.6854367368101973,0.9999999999999998,0.8157656590490726
curt,breve,3,spesso,lungo,questo,0,0.030005141042298195,0.377738868609872,0.23564879482153445,0.21446426815790154
dia,giorno,3,notte,giorno,anno,1,0.577436541441872,1.0000000000000004,0.482969036826255,0.6868018594227091
cinc,cinque,3,tre,quattro,due,0,0.8355900223123783,0.8587270356703779,0.6631226719983345,0.7858132433270303
llengua,lingua,3,persona,spesso,cosa,0,0.19684419790813498,0.1300442706730495,0.09741406995697047,0.1414341795127183
pocs,pochi,3,molti,alcuni,pochi,1,0.43350456736781096,0.4754299064545111,1.0,0.6363114912741074
gran,grande,3,piccolo,un,grande,1,0.4217168042056527,0.2507064149389469,1.0,0.5574744063815332
terra,terra,3,mare,sale,notte,0,0.37302120019035667,0.014196003398648339,0.17637994620338335,0.1878657165974628
llac,lago,3,fiume,lago,mare,1,0.5641900898450727,0.9999999999999998,0.470417329038248,0.6782024729611068
quan,quando,3,che,lei,quando,1,0.40582304471256864,0.38674159731789515,0.9999999999999999,0.5975215473434878
altre,altro,3,alcuni,nuovo,questo,0,0.08163452033751459,0.35276783014211405,0.43928454162364616,0.29122896403442494
sol,sole,3,spesso,fuoco,essi,0,0.07713025220618455,0.2284365897969359,0.08834883824558502,0.1313052267495685
qui,chi,3,lei,lui,madre,0,0.47476432538572194,0.5201786446439769,0.15771933567587054,0.3842207685685231
ell,lui,3,lui,lei,donna,1,0.9999999999999996,0.7515607184827715,0.47353402724818144,0.7416982485769842
