Input,Gold Standard,nns_number,nns1,nns2,nns3,Result,Cosine_Sim_Word1_Word2,Cosine_Sim_nns1,Cosine_Sim_nns2,Cosine_Sim_nns3
nero,negre,3,blanc,vermell,negre,1,0.773368244578288,0.6763001357657425,0.9999999999999999,0.8165561267813435
breve,curt,3,llarg,curt,petit,1,0.4119361187427191,0.9999999999999999,0.42495874526358485,0.6122982880021013
giorno,dia,3,any,nit,dia,1,0.596415687369169,0.43486693039265834,1.0000000000000002,0.6770942059206092
cinque,cinc,3,tres,quatre,cinc,1,0.8318807816186389,0.8845409397665859,0.9999999999999997,0.9054739071284081
lingua,llengua,3,molts,persona,pocs,0,0.06368492302348448,0.3636949917253234,0.05421090697975443,0.16053027390952077
pochi,pocs,3,algun,molts,pocs,1,0.1318914172826589,0.6330531847876731,1.0000000000000002,0.5883148673567774
grande,gran,3,petit,vell,gran,1,0.4552878042344185,0.23465746456963726,0.9999999999999994,0.5633150896013518
terra,terra,3,mar,terra,molts,1,0.4004809251572793,0.9999999999999998,0.08387914028276154,0.49478668848001356
lago,llac,3,riu,mar,llac,1,0.7113938732219607,0.5130647035108018,1.0,0.741486192244254
quando,quan,3,on,quan,què,1,0.5764164434469166,0.9999999999999999,0.5733554848568866,0.7165906427679344
altro,altre,3,aquest,altre,aquell,1,0.46921343539044,0.9999999999999999,0.26619695834464663,0.5784701312450289
sole,sol,3,estrella,nit,cel,0,0.15350781957229354,0.1405529984160778,0.39251731145014795,0.22885937647950647
chi,qui,3,què,qui,no,1,0.517961379094598,1.0,0.24183747864819868,0.586599619247599
lui,ell,3,qui,ell,què,1,0.5789754069601651,1.0,0.2610533007952595,0.6133429025851416
