Input,Gold Standard,nns_number,nns1,nns2,nns3,Result,Cosine_Sim_Word1_Word2,Cosine_Sim_nns1,Cosine_Sim_nns2,Cosine_Sim_nns3
black,nero,3,rosso,bianco,nero,1,0.6854367368101973,0.7618602403370207,0.9999999999999998,0.8157656590490726
short,breve,3,questo,lungo,piccolo,0,0.23564879482153445,0.377738868609872,0.17547882548757723,0.26295549630632786
day,giorno,3,notte,giorno,anno,1,0.577436541441872,1.0000000000000004,0.482969036826255,0.6868018594227091
five,cinque,3,tre,quattro,due,0,0.8355900223123783,0.8587270356703779,0.6631226719983345,0.7858132433270303
tongue,lingua,3,bambino,testa,mano,0,-0.01463884881023393,-0.05210740054751492,0.007498823829160979,-0.019749141842862625
few,pochi,3,due,tre,quattro,0,0.2944608426468357,0.30639098456543823,0.26869866234166434,0.2898501631846461
big,grande,3,piccolo,vicino,vecchio,0,0.4217168042056527,0.20310304211281166,0.22679358686212195,0.2838711443935288
earth,terra,3,mare,fuoco,terra,1,0.37302120019035667,0.2032475243515221,0.9999999999999999,0.5254229081806262
lake,lago,3,fiume,mare,lago,1,0.5641900898450727,0.470417329038248,0.9999999999999998,0.6782024729611068
when,quando,3,che,questo,quando,1,0.40582304471256864,0.20184071072417856,0.9999999999999999,0.5358879184789157
other,altro,3,due,alcuni,molti,0,0.049620626556968826,0.08163452033751459,0.06373769746937238,0.06499761478795194
sun,sole,3,stella,sole,notte,1,0.39916112231716394,0.9999999999999997,0.3079790482145287,0.5690467235105641
who,chi,3,lui,che,lei,0,0.5201786446439769,0.5611043431638438,0.47476432538572194,0.5186824377311808
he,lui,3,lei,lui,marito,1,0.7515607184827715,0.9999999999999996,0.46061375673055854,0.7373914917377765
