Input,Gold Standard,nns_number,nns1,nns2,nns3,Result,Cosine_Sim_Word1_Word2,Cosine_Sim_nns1,Cosine_Sim_nns2,Cosine_Sim_nns3
negre,black,3,red,white,black,1,0.4205348476391678,0.6713805630491353,1.0,0.6973051368961011
curt,short,3,thick,long,short,1,0.21674637529780533,0.5927028980937894,0.9999999999999999,0.6031497577971981
dia,day,3,night,year,day,1,0.5069773403505753,0.4970810674448048,1.0,0.6680194692651268
cinc,five,3,four,three,two,0,0.8503621754827073,0.8468217641530185,0.745037724694019,0.814073888109915
llengua,tongue,3,person,woman,mother,0,0.11606283452062402,0.14283824248590518,0.2660484748408661,0.17498318394913173
pocs,few,3,many,two,few,1,0.5887422500695253,0.5175219969929765,1.0,0.7020880823541673
gran,big,3,small,thick,thin,0,0.3829034760329978,0.17749340563605928,0.1543399766841211,0.2382456194510594
terra,earth,3,salt,sea,water,0,0.06092738903755955,0.24345903211308678,0.209091563731002,0.17115932829388278
llac,lake,3,river,sea,lake,1,0.5385689015630375,0.3447874232057898,1.0,0.6277854415896091
quan,when,3,what,where,when,1,0.3232295472503892,0.5170744570062209,1.0,0.6134346680855367
altre,other,3,small,this,new,0,0.20472977204235304,0.10241638352169244,0.2047422588785075,0.17062947148085097
sol,sun,3,fire,straight,thick,0,0.1762569909025244,0.08646429850780823,0.055711254796593224,0.10614418140230862
qui,who,3,father,mother,what,0,0.31873400399675067,0.22864588822193552,0.24179697497012587,0.263058955729604
ell,he,3,they,he,father,1,0.36990335700012605,0.9999999999999996,0.45671706717659677,0.6088734747255741
