uno un
come com
non no
questo aquest
dove on
testa cap
grande gran
due dos
quando quan
tre tres
quattro quatre
tutto tots
nuovo nou
fiume riu
anno any
cinque cinc
che què
giorno dia
molti molts
chi qui
terra terra
vicino prop
padre pare
lui ell
lungo llarg
altro altre
mare mar
persona persona
lingua llengua
sole sol
madre mare
piccolo petit
essi ells
quella aquell
destra dreta
bianco blanc
strada carretera
marito home
pochi pocs
lago llac
mano mà
notte nit
alcuni algun
fuoco foc
vecchio vell
marito marit
rosso vermell
bambino nen
stella estrella
sale sal
moglie muller
diritto recte
spesso gruixut
mano mà
notte nit
vicino prop
questo aquest
loro ells
nero negre
fuoco foc
uomo home
cosa què
breve curt
donna dona
