tres tre
quatre quattro
què che
dona donna
foc fuoco
estrella stella
tots tutto
nou nuovo
no non
mà mano
persona persona
prop vicino
com come
vell vecchio
aquell quello
dreta destra
cap testa
algun alcuni
marit marito
aquest questo
nen bambino
any anno
riu fiume
llarg lungo
molts molti
sal sale
pare padre
on dove
ells loro
blanc bianco
home uomo
recte diritto
gruixut spesso
un uno
mar mare
dos due
carretera strada
muller moglie
nit notte
vermell rosso
petit piccolo
aquest questo
mare madre
negre nero
curt breve
dia giorno
cinc cinque
llengua lingua
pocs pochi
gran grande
terra terra
llac lago
quan quando
altre altro
sol sole
qui chi
ell lui
