Input,Gold Standard,nns_number,nns1,nns2,nns3,Result,Cosine_Sim_Word1_Word2,Cosine_Sim_nns1,Cosine_Sim_nns2,Cosine_Sim_nns3
black,negre,3,blanc,vermell,negre,1,0.773368244578288,0.6763001357657425,0.9999999999999999,0.8165561267813435
short,curt,3,llarg,curt,peu,1,0.4119361187427191,0.9999999999999999,0.13188467315890748,0.5146069306338755
day,dia,3,any,nit,dia,1,0.596415687369169,0.43486693039265834,1.0000000000000002,0.6770942059206092
five,cinc,3,tres,quatre,cinc,1,0.8318807816186389,0.8845409397665859,0.9999999999999997,0.9054739071284081
tongue,llengua,3,mare,no,mà,0,0.19020976768637662,0.11074628633960149,0.15972036963638342,0.15355880788745385
few,pocs,3,dos,tres,molts,0,0.5427701882481804,0.4164367205611234,0.6330531847876731,0.5307533645323256
big,gran,3,petit,estret,gruixut,0,0.4552878042344185,0.21514245503935717,0.23624768816070446,0.30222598247816007
earth,terra,3,mar,tots,un,0,0.4004809251572793,0.06107182078977323,-0.0011364040610538162,0.15347211396199958
lake,llac,3,riu,mar,llac,1,0.7113938732219607,0.5130647035108018,1.0,0.741486192244254
when,quan,3,on,què,quan,1,0.5764164434469166,0.5733554848568866,0.9999999999999999,0.7165906427679344
other,altre,3,molts,dos,tots,0,0.013840223993661745,0.08259545165249943,-0.017784418948825223,0.02621708556577865
sun,sol,3,estrella,dona,nit,0,0.15350781957229354,0.06780865657852553,0.1405529984160778,0.12062315818896563
who,qui,3,qui,ell,ells,1,1.0,0.5789754069601651,0.2758512857494912,0.6182755642365522
he,ell,3,qui,ell,pare,1,0.5789754069601651,1.0,0.3059466646874321,0.6283073572158657
