tre tres
quattro quatre
che què
donna dona
fuoco foc
stella estrella
tutto tots
nuovo nou
non no
mano mà
persona persona
vicino prop
come com
vecchio vell
quello aquell
destra dreta
testa cap
alcuni algun
marito marit
questo aquest
bambino nen
anno any
fiume riu
lungo llarg
molti molts
sale sal
padre pare
dove on
loro ells
bianco blanc
uomo home
diritto recte
spesso gruixut
uno un
mare mar
due dos
strada carretera
moglie muller
notte nit
rosso vermell
piccolo petit
questo aquest
madre mare
nero negre
breve curt
giorno dia
cinque cinc
lingua llengua
pochi pocs
grande gran
terra terra
lago llac
quando quan
altro altre
sole sol
chi qui
lui ell
